"","BW_ID","BUFF","Bio","Con","Bio_pct","Con_pct"
"1","BW_00835",500,6.66623803558115,31.2888664058782,17.5634822606349,82.4365177393651
"2","BW_00835",1000,25.8987538415046,100.284810804146,20.5246649309944,79.4753350690056
"3","BW_00907",500,0,8.18766168140166,0,100
"4","BW_00907",1000,0,31.607873112202,0,100
"5","BW_00915",500,2.20043089150857,30.4033450269621,6.74900630224853,93.2509936977515
"6","BW_00915",1000,12.9845707941866,60.1272475502097,17.7598794397675,82.2401205602325
"7","BW_00936",500,0,6.45197990165837,0,100
"8","BW_00936",1000,0,10.2065871086206,0,100
"9","BW_00967",500,0.650748587284097,7.81932964033008,7.6829111821249,92.3170888178751
"10","BW_00967",1000,10.3710250869344,40.8288979025667,20.2559388401054,79.7440611598946
"11","BW_01001",500,0,15.4899277104844,0,100
"12","BW_01001",1000,0,37.282048989708,0,100
"13","BW_01022",500,0,20.536770229059,0,100
"14","BW_01022",1000,0.514663126274667,69.3870593490386,0.73626672998856,99.2637332700114
"15","BW_01045",500,1.73995585554938,26.328776995064,6.19891131106533,93.8010886889347
"16","BW_01045",1000,2.16409579790531,110.57360809793,1.91958477343556,98.0804152265644
"17","BW_01054",500,0,32.0416502017524,0,100
"18","BW_01054",1000,0,139.266966246617,0,100
"19","BW_01083",500,0,51.835118992584,0,100
"20","BW_01083",1000,0.799055296810997,158.801910788991,0.500658182972041,99.499341817028
"21","BW_01094",500,10.1150322802278,36.9710036335214,21.4820213337905,78.5179786662095
"22","BW_01094",1000,30.4638181950016,86.7595496731936,25.9878373646923,74.0121626353076
"23","BW_01130",500,0,16.5212128194172,0,100
"24","BW_01130",1000,0,59.2755342596958,0,100
"25","BW_01153",500,2.16409579790531,60.9201082909484,3.43048759853924,96.5695124014608
"26","BW_01153",1000,2.96040796679624,171.411266665462,1.69775737546801,98.302242624532
"27","BW_01193",500,8.75071033264591,30.7000842755824,22.181328461305,77.818671538695
"28","BW_01193",1000,19.4941458322436,75.6210229293591,20.4953069905221,79.5046930094779
"29","BW_01555",500,0,63.5837522719897,0,100
"30","BW_01555",1000,0.323708101249098,205.485623885853,0.157285434107227,99.8427145658928
"31","BW_01586",500,0,26.1222993271888,0,100
"32","BW_01586",1000,0,107.176693253207,0,100
"33","BW_01588",500,0,62.1374943332418,0,100
"34","BW_01588",1000,7.12672370615194,222.721016114799,3.10062814265808,96.8993718573419
"35","BW_01638",500,0,28.6231184918147,0,100
"36","BW_01638",1000,0,101.824932964652,0,100
"37","BW_01639",500,0,73.2599497812835,0,100
"38","BW_01639",1000,1.84365888663679,238.895058817727,0.765833973121377,99.2341660268786
"39","BW_01642",500,7.73970687739838,59.9856061890741,11.4280857879562,88.5719142120438
"40","BW_01642",1000,8.03314512087417,233.021928758722,3.33249368768177,96.6675063123182
"41","BW_01647",500,1.60994328370121,52.4848862361643,2.97615002762877,97.0238499723712
"42","BW_01647",1000,3.03938302613725,175.797915975874,1.69952411666823,98.3004758833318
"43","BW_01648",500,0.30241525290971,37.704219814742,0.795690679723189,99.2043093202768
"44","BW_01648",1000,6.02006440165166,117.962997384075,4.85555390788447,95.1444460921155
"45","BW_01649",500,0,38.2012315163685,0,100
"46","BW_01649",1000,0,151.399460285947,0,100
"47","BW_01675",500,0,67.6952762916407,0,100
"48","BW_01675",1000,0,194.397376896773,0,100
"49","BW_01680",500,0.939092597272044,52.0895289884803,1.77091647715836,98.2290835228416
"50","BW_01680",1000,3.03938302613725,177.401180903479,1.68442336908391,98.3155766309161
"51","BW_01691",500,0,48.5937400011651,0,100
"52","BW_01691",1000,0,143.522260931199,0,100
"53","BW_01712",500,5.92508137831602,58.3972031217584,9.21155307894757,90.7884469210524
"54","BW_01712",1000,7.73970687739838,222.669474436885,3.35911391779187,96.6408860822081
"55","BW_01715",500,0,28.2487350428102,0,100
"56","BW_01715",1000,0,167.304406576062,0,100
"57","BW_01717",500,0,41.063299303856,0,100
"58","BW_01717",1000,0,135.991534549318,0,100
"59","BW_01732",500,2.73291256943777,57.580655884382,4.53117373005425,95.4688262699458
"60","BW_01732",1000,8.03314512087417,230.108721332861,3.37326033447999,96.62673966552
"61","BW_01734",500,0,39.2113117910999,0,100
"62","BW_01734",1000,0,133.854792792929,0,100
"63","BW_01785",500,0,67.1490433733405,0,100
"64","BW_01785",1000,0,215.461094624892,0,100
"65","BW_01800",500,0,56.8592806639985,0,100
"66","BW_01800",1000,3.5788596539807,115.050978070783,3.01682925865927,96.9831707413407
"67","BW_01807",500,3.55022071186394,45.0729074866179,7.30150618317229,92.6984938168277
"68","BW_01807",1000,5.38268232761629,168.426410688723,3.09689339850031,96.9031066014997
"69","BW_01830",500,2.76415835568145,33.2769388537973,7.66946227972904,92.330537720271
"70","BW_01830",1000,5.58753685527437,119.38857999758,4.47088371440846,95.5291162855915
"71","BW_01862",500,0.332653548455063,43.4122869435431,0.760438909537234,99.2395610904628
"72","BW_01862",1000,6.10277331138029,182.067374663002,3.24322076433247,96.7567792356675
"73","BW_01866",500,0,44.2883205340168,0,100
"74","BW_01866",1000,5.31105095794769,124.19611501991,4.10097072069027,95.8990292793097
"75","BW_01889",500,0,39.5082462822649,0,100
"76","BW_01889",1000,5.35870054807403,180.393977261956,2.88485776423336,97.1151422357666
"77","BW_01915",500,0.904594418125969,10.4266663985634,7.98317533026531,92.0168246697347
"78","BW_01915",1000,5.00837249670492,81.6296374199048,5.78080279259132,94.2191972074087
"79","BW_02033",500,0.348708555226572,50.5567047251943,0.685012718206712,99.3149872817933
